Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_screw,0.9811436769829882,0.9927131177293789,0.9717328974487748
mvtec_pill,0.9822695035460992,0.9809864624100921,0.9396308072812124
mvtec_capsule,0.987235739928201,0.9882310733808624,0.9294104737082827
mvtec_carpet,0.9935794542536116,0.9761943948464524,0.8926339210103097
mvtec_grid,0.9983291562238931,0.9856196756720047,0.9481628480970894
mvtec_tile,0.994949494949495,0.9539981707995623,0.9133244499910175
mvtec_wood,1.0,0.8812196050203813,0.7956867948728031
mvtec_zipper,1.0,0.9894202690536333,0.9637434431403986
mvtec_cable,0.9910044977511243,0.962574283687738,0.9009906614290196
mvtec_toothbrush,1.0,0.986121777835246,0.9333620481218257
mvtec_transistor,0.9991666666666666,0.9548674664193667,0.9101813261803062
mvtec_metal_nut,1.0,0.9873035357277344,0.9007030973851196
mvtec_bottle,1.0,0.9799897746337861,0.9071935584699676
mvtec_hazelnut,1.0,0.9774973029748711,0.8064145818982049
mvtec_leather,1.0,0.9908258119680656,0.9615418824902677
Mean,0.9951785460201387,0.9725041814772784,0.9116475194349734
