Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_screw,0.7228940356630458,0.6816714673555168,0.32143619466990037
mvtec_pill,0.807965084560829,0.9205652446555644,0.5188460468533974
mvtec_capsule,0.7973673713601915,0.8770894709176917,0.466656948200268
mvtec_carpet,0.9386035313001605,0.9255044908444486,0.5538897658712745
mvtec_grid,0.6800334168755222,0.601102004820692,0.32938839283519084
mvtec_tile,0.9855699855699855,0.8347338999297471,0.7723420009964842
mvtec_wood,0.9850877192982456,0.743226548827682,0.49014945257624287
mvtec_zipper,0.961922268907563,0.8574861741419701,0.5653123450181594
mvtec_cable,0.8984257871064468,0.8734080697867107,0.5520076513327646
mvtec_toothbrush,0.8722222222222223,0.77739532486976,0.5926203983850618
mvtec_transistor,0.9391666666666666,0.8908347713650117,0.6908151431751383
mvtec_metal_nut,0.9022482893450635,0.8758195329897648,0.5769647667343141
mvtec_bottle,1.0,0.9491729707843268,0.7537547253559479
mvtec_hazelnut,0.8310714285714286,0.874305425213129,0.5602382578461949
mvtec_leather,0.9887907608695652,0.9358487825363775,0.7056356481044148
Mean,0.887424571221129,0.8412109452692261,0.563337182530317
